Shape,Result,Number,Time
<http://example.org/lungCancer/shapes/Protocol5>,valid,6671,26.907729387283325
<http://example.org/lungCancer/shapes/Protocol23>,valid,5064,19.35238480567932
<http://example.org/lungCancer/shapes/Protocol22>,violated,4499,17.69244074821472
<http://example.org/lungCancer/shapes/Protocol2>,valid,3742,13.720799207687378
<http://example.org/lungCancer/shapes/Protocol19>,valid,3495,12.50183892250061
<http://example.org/lungCancer/shapes/Protocol3>,valid,5863,23.69752073287964
<http://example.org/lungCancer/shapes/Protocol12>,valid,1169,4.623827934265137
<http://example.org/lungCancer/shapes/Protocol15>,valid,2035,7.937758207321167
<http://example.org/lungCancer/shapes/Protocol14>,valid,1695,6.848782777786255
<http://example.org/lungCancer/shapes/Protocol1>,valid,101,1.1829719543457031
<http://example.org/lungCancer/shapes/Protocol12>,valid,1079,4.623827934265137
<http://example.org/lungCancer/shapes/Protocol23>,valid,4850,19.35137438774109
<http://example.org/lungCancer/shapes/Protocol21>,valid,4310,16.042229413986206
<http://example.org/lungCancer/shapes/Protocol20>,valid,3999,14.850263833999634
<http://example.org/lungCancer/shapes/Protocol18>,valid,3182,11.326359748840332
<http://example.org/lungCancer/shapes/Protocol14>,valid,1737,6.848782777786255
<http://example.org/lungCancer/shapes/Protocol17>,valid,2594,10.213403940200806
<http://example.org/lungCancer/shapes/Protocol4>,valid,6329,25.631577491760254
<http://example.org/lungCancer/shapes/Protocol18>,valid,3097,11.326359748840332
<http://example.org/lungCancer/shapes/Protocol14>,valid,1613,6.847782135009766
<http://example.org/lungCancer/shapes/Protocol1>,valid,133,1.1829719543457031
<http://example.org/lungCancer/shapes/Protocol16>,valid,2481,9.107722759246826
<http://example.org/lungCancer/shapes/Protocol23>,valid,4869,19.35137438774109
<http://example.org/lungCancer/shapes/Protocol4>,valid,6255,25.631577491760254
<http://example.org/lungCancer/shapes/Protocol19>,valid,3436,12.50183892250061
<http://example.org/lungCancer/shapes/Protocol18>,valid,2980,11.325364828109741
<http://example.org/lungCancer/shapes/Protocol8>,valid,7566,30.717232704162598
<http://example.org/lungCancer/shapes/Protocol6>,violated,6807,28.28168749809265
<http://example.org/lungCancer/shapes/Protocol10>,valid,638,2.3239073753356934
<http://example.org/lungCancer/shapes/Protocol24>,valid,5391,20.82952642440796
<http://example.org/lungCancer/shapes/Protocol8>,valid,7405,30.717232704162598
<http://example.org/lungCancer/shapes/Protocol23>,valid,4999,19.35238480567932
<http://example.org/lungCancer/shapes/Protocol4>,valid,6337,25.631577491760254
<http://example.org/lungCancer/shapes/Protocol24>,valid,5207,20.82952642440796
<http://example.org/lungCancer/shapes/Protocol11>,valid,844,3.54687237739563
<http://example.org/lungCancer/shapes/Protocol9>,valid,7788,31.928210496902466
<http://example.org/lungCancer/shapes/Protocol25>,valid,5506,22.2975971698761
<http://example.org/lungCancer/shapes/Protocol16>,valid,2493,9.107722759246826
<http://example.org/lungCancer/shapes/Protocol12>,valid,1200,4.623827934265137
<http://example.org/lungCancer/shapes/Protocol14>,valid,1841,6.848782777786255
<http://example.org/lungCancer/shapes/Protocol13>,valid,1350,5.71781849861145
<http://example.org/lungCancer/shapes/Protocol17>,valid,2744,10.213403940200806
<http://example.org/lungCancer/shapes/Protocol6>,valid,6995,28.28168749809265
<http://example.org/lungCancer/shapes/Protocol20>,valid,4139,14.850263833999634
<http://example.org/lungCancer/shapes/Protocol19>,valid,3219,12.50183892250061
<http://example.org/lungCancer/shapes/Protocol23>,valid,4827,19.35137438774109
<http://example.org/lungCancer/shapes/Protocol16>,valid,2373,9.106723546981812
<http://example.org/lungCancer/shapes/Protocol22>,valid,4634,17.69244074821472
<http://example.org/lungCancer/shapes/Protocol13>,valid,1381,5.71781849861145
<http://example.org/lungCancer/shapes/Protocol23>,valid,4974,19.35238480567932
<http://example.org/lungCancer/shapes/Protocol7>,valid,7264,29.561617374420166
<http://example.org/lungCancer/shapes/Protocol22>,violated,4516,17.69244074821472
<http://example.org/lungCancer/shapes/Protocol24>,valid,5414,20.82952642440796
<http://example.org/lungCancer/shapes/Protocol22>,valid,4659,17.69244074821472
<http://example.org/lungCancer/shapes/Protocol3>,valid,5770,23.69752073287964
<http://example.org/lungCancer/shapes/Protocol8>,valid,7572,30.717232704162598
<http://example.org/lungCancer/shapes/Protocol1>,valid,282,1.1829719543457031
<http://example.org/lungCancer/shapes/Protocol15>,valid,2086,7.937758207321167
<http://example.org/lungCancer/shapes/Protocol1>,valid,46,1.1829719543457031
